"parallel_domain","Pressure","Velocity:0","Velocity:1","Velocity:2","TurbEner","Dissip","TurbVisc","total_pressure","Points:0","Points:1","Points:2"
1,1.3579,-0.847408,1.22826,-6.49376,0.114662,9.66544,0.000146715,101326,0.017857,0.00855243,-0.06
1,-1.64935,-0.71511,1.1634,-6.92711,0.0997948,6.67433,0.000124835,101323,0.0116068,0.0169532,-0.06
1,-7.59745,0.430261,2.08486,-6.60319,0.380469,157.982,0.000105562,101317,0.0383594,0.0196279,-0.06
1,-17.3897,0.501041,2.89994,-7.56852,0.3088,113.363,8.47233e-05,101308,0.0369795,0.0321985,-0.06
2,-13.8264,-1.66296,-0.013517,-6.4026,0.226227,164.052,5.63851e-05,101311,-0.0159159,0.040679,-0.06
2,-14.0608,-1.71576,-0.0925647,-6.28328,0.239706,177.101,5.84674e-05,101311,-0.0155045,0.0414136,-0.06
2,-28.4377,-2.33741,0.816093,-8.24821,0.25826,155.076,6.51116e-05,101297,-0.0264885,0.0411256,-0.06
2,-0.76953,-0.0913157,0.327331,-6.85474,0.0960781,4.21871,0.000160088,101324,-0.00971724,-0.00433592,-0.06
2,-0.963865,-0.022027,0.573453,-6.8275,0.0961441,4.73987,0.000142215,101324,-0.0129752,0.000847581,-0.06
2,0.961437,0.506831,0.480368,-6.56156,0.0709031,5.35742,7.55884e-05,101326,-0.0192145,-0.00501148,-0.06
2,-4.58021,-0.889592,1.89163,-5.43048,0.214853,115.168,5.49254e-05,101320,-0.0400736,0.000535001,-0.06
2,-5.22929,0.665293,-1.82016,-5.81865,0.228556,66.8642,6.45381e-05,101320,-0.0315525,-0.0289778,-0.06
1,-75.3933,1.3421,-3.91105,-8.17597,14.6233,26199.5,0.0014703,101250,0.0487256,-0.0492904,-0.06
1,-79.623,1.0847,-3.98566,-9.08988,14.3401,24540.9,0.00146873,101245,0.05,-0.05,-0.06
1,-72.39,1.3178,-4.5298,-8.17453,13.6649,23361.1,0.00142319,101253,0.0492378,-0.0484287,-0.06
