"parallel_domain","Pressure","Velocity:0","Velocity:1","Velocity:2","TurbEner","Dissip","TurbVisc","total_pressure","Points:0","Points:1","Points:2"
1,2.04988,0.0159002,0.0626381,-7.07415,0.281644,100.013,8.51326e-05,101327,-0.0412414,-0.0145936,-0.06
1,2.04548,-0.0082959,0.0891459,-7.0128,0.281257,102.735,8.20846e-05,101327,-0.0407238,-0.0118448,-0.06
2,1.50547,-0.033058,-0.0109372,-6.21868,0.222032,59.2121,9.52106e-05,101326,0.000665634,-0.0359982,-0.06
2,1.898,-0.0454779,0.133418,-6.8497,0.303531,92.5359,0.000120184,101327,0.05,-0.0242314,-0.06
2,1.8009,-0.0455411,0.124776,-6.77855,0.275052,85.5783,0.000109878,101327,0.05,-0.0213814,-0.06
2,1.72028,-0.0614594,0.146472,-7.09954,0.247859,68.8868,0.000110905,101327,0.04613,-0.0239129,-0.06
1.41664,1.76608,0.0416312,0.0760343,-7.13476,0.229086,72.047,7.58989e-05,101327,-0.00958442,-0.0432959,-0.06
1.02413,2.6132,0.172237,-0.0220682,-6.75007,0.243593,85.5663,7.72457e-05,101328,-0.0135643,-0.05,-0.06
1.74779,1.84855,-0.0231222,0.0971629,-7.08641,0.204072,70.4154,6.86843e-05,101327,-0.00397649,-0.05,-0.06
3.50613,2.10137,0.0282544,-0.110594,-7.07835,0.169282,57.1315,4.72308e-05,101327,0.0126137,0.0406525,-0.06
3.46621,2.11408,0.03209,-0.103523,-7.0732,0.174473,59.5373,4.76582e-05,101327,0.011993,0.0407648,-0.06
3.45934,2.08307,0.0227586,-0.0788489,-6.92695,0.23673,87.1424,6.08334e-05,101327,0.0119455,0.0398555,-0.06
3,1.60004,-0.163928,0.174475,-6.03283,0.285576,99.2071,7.77565e-05,101327,-0.0276476,0.0226955,-0.06
3,1.6363,-0.152496,0.159438,-6.11367,0.308392,117.235,7.91797e-05,101327,-0.0279835,0.023142,-0.06
