"parallel_domain","Pressure","Velocity:0","Velocity:1","Velocity:2","TurbEner","Dissip","TurbVisc","total_pressure","Points:0","Points:1","Points:2"
2,2.2724e+17,1.33065e+08,-1.84112e+08,-4.2024e+08,3.30783e+14,4.85933e+19,534594,2.2724e+17,-0.0201645,0.0311399,-0.06
2,3.00214e+16,4.29506e+07,-1.58233e+08,-3.85916e+08,9.8479e+14,1.16767e+21,7.59603e+07,3.00214e+16,-0.0190579,0.0417501,-0.06
2,1.95785e+17,-3.23182e+07,5.3406e+07,-1.31817e+09,3.93256e+13,5.92214e+18,43027.4,1.95785e+17,-0.0407615,0.0405168,-0.06
2,1.97683e+17,-2.20062e+07,5.8577e+07,-1.31084e+09,3.20255e+13,6.28747e+18,37695.3,1.97683e+17,-0.0413319,0.0409271,-0.06
1,1.1884e+17,-9.57117e+07,1.55688e+07,-5.97293e+08,4.72385e+13,2.72449e+19,256.121,1.1884e+17,-0.0426487,-0.05,-0.06
1,1.1144e+17,-1.76008e+08,2.43449e+07,-7.22036e+08,8.84231e+13,9.32812e+19,165.913,1.1144e+17,-0.0374907,-0.05,-0.06
1,1.03153e+17,-7.54421e+07,4.48606e+07,-5.68267e+08,3.79711e+13,2.20427e+19,215.497,1.03153e+17,-0.0407774,-0.0438531,-0.06
1,7.83329e+16,-1.63262e+07,9.18355e+07,-4.9531e+08,2.2103e+13,2.65537e+18,613.943,7.83329e+16,-0.0484111,-0.0334497,-0.06
1,7.3222e+16,-8.30988e+06,1.07707e+08,-4.79444e+08,3.61038e+13,2.52093e+18,1212.81,7.3222e+16,-0.0456413,-0.0299386,-0.06
1,8.22779e+16,-1.4966e+07,1.05896e+08,-5.18895e+08,2.62678e+13,2.53737e+18,787.496,8.22779e+16,-0.05,-0.0315707,-0.06
4,-8.64471e+17,5.60956e+08,-6.23941e+08,2.13995e+09,5.35206e+16,2.23505e+23,163280,-8.64471e+17,0.0274518,0.0159797,-0.06
4,-7.79337e+17,5.18917e+08,-6.88257e+08,2.20011e+09,8.20597e+16,2.32991e+23,470869,-7.79337e+17,0.0278131,0.0170762,-0.06
2,2.4189e+17,9.54935e+07,-1.26211e+08,-3.86965e+08,3.22441e+14,3.45828e+19,589270,2.4189e+17,-0.0243681,0.0306824,-0.06
2,2.22584e+17,1.44283e+08,-1.72026e+08,-3.9126e+08,3.37971e+14,4.9044e+19,546292,2.22584e+17,-0.020423,0.0303752,-0.06
3.63613,-3.89691e+17,2.94044e+08,1.23269e+08,3.7866e+08,7.50922e+16,1.26835e+23,3.13725e+06,-3.89691e+17,0.0143583,0.00335684,-0.06
3.70896,-1.35593e+18,3.1616e+08,-1.38506e+07,5.30345e+08,5.26018e+16,2.00463e+23,8.9275e+06,-1.35593e+18,0.0236174,0.00421229,-0.06
1,1.04743e+17,-2.31583e+08,3.52985e+07,-8.31483e+08,1.54704e+14,2.0161e+20,128.021,1.04743e+17,-0.0324003,-0.05,-0.06
1,7.80223e+16,-2.32013e+08,3.57431e+07,-8.62779e+08,4.96457e+14,7.90287e+20,94.0405,7.80223e+16,-0.0293492,-0.05,-0.06
1,9.54832e+16,-2.2948e+08,4.5725e+07,-8.30136e+08,1.75109e+14,2.35085e+20,104.266,9.54832e+16,-0.0313578,-0.0474715,-0.06
2,2.48585e+17,-7.36327e+07,-7.1682e+07,-5.50892e+08,2.12726e+14,2.40715e+19,317294,2.48585e+17,-0.0289561,0.0372412,-0.06
